title,posted,experience,views,replies,description,link
Python Developer,2023-05-19,3,49,5,"We are looking for middle\senior Python DeveloperREQUIREMENTS:- At least 3 years of Python experience- Strong experience creating Unit/Integrational/API Tests- Experience working with cloud environments (AWS, Google, Azure)- Experience working with SQL Databases- Excited to tackle difficult research questions- Professional knowledge of Django, DRF, PostgreSQL, Celery, Redis- Intermediate level of English or higherRESPONSIBILITIES:- Participate is design session for particular module/sub-module- Add new cool features- Improve test coverage- Continuously refactor application when necessaryWE OFFER:- Completely remote work- Working in a product company- Ability to be proud for the work you do- Strong and enthusiastic team- Opportunity for knowledge exchange, training and professional development- Comfortable working atmosphere- Participation in corporate events and travels- Corporate English courses.GEO Pay’s values are people. We work for the result and enjoy the process.If you want to join our team, please send to us your CV.Про компанію GEO Pay📌 About Us:GEO Pay is one of the leading ON/OFF ramp and P2P solutions, which provides the infrastructure and solutions for the users to easily conduct transactions with biggest crypto exchanges as well as P2P transactions.📌 GEO Pay now:🔹 Integration with biggest virtual assets exchanges.🔹 One API solution for working with many cryptocurrencies and currencies.🔹 Leading solution in Ukrainian market.📌 Our mission is to develop an infrastructure with various financial institutions, payment systems, crypto-wallets and exchanges, DeFi, and many others for wide variety of users.📌 The values of GEO Pay are people. We work for the result, but strive to enjoy the process.📌 Working with GEO is:🔹 Work in a young and ambitious team;🔹 Work from any city and country;🔹 New challenges and foundation for personal development within the team;🔹 Dynamic and exciting tasks;🔹 We do not work according to the established rules — we set the rules ourselves;🔹 Open and transparent processes within the company.Про компанію GEO Pay📌 About Us:GEO Pay is one of the leading ON/OFF ramp and P2P solutions, which provides the infrastructure and solutions for the users to easily conduct transactions with biggest crypto exchanges as well as P2P transactions.📌 GEO Pay now:🔹 Integration with biggest virtual assets exchanges.🔹 One API solution for working with many cryptocurrencies and currencies. 🔹 Leading solution in Ukrainian market.📌 Our mission is to develop an infrastructure with various financial institutions, payment systems, crypto-wallets and exchanges, DeFi, and many others for wide variety of users.📌 The values of GEO Pay are people. We work for the result, but strive to enjoy the process.📌 Working with GEO is:🔹 Work in a young and ambitious team;🔹 Work from any city and country;🔹 New challenges and foundation for personal development within the team;🔹 Dynamic and exciting tasks;🔹 We do not work according to the established rules — we set the rules ourselves;🔹 Open and transparent processes within the company.",https://djinni.co/jobs/558473-python-developer/
Full-Stack Developer (Python/React),2023-05-19,3,23,3,"About our clientClient is a US based startup that organizes all info across your digital workspace and provides context for the projects, meetings, and people that matter to you. Product has all of your most important files, documents, conversations, and links organized by client, project, and team. It makes your daily activities much more comfortable.What will you be doing:You will work with other team members to develop and support product functionality to achieve business goals;Maintain code and component library formulated using design patterns;Participate in code review, maintenance and refactoring, meeting new feature requirements and improving existing features;Participate in problem solving in a production environment;You will collaborate with other teams to understand the product vision and meet the requirements by developing the frontend functionality;Performing peer code-reviews and unit testing to ensure high-quality software.Requirements:3+ years of experience with React, Redux;3+ years of experience with HTML, CSS, and plain JavaScript;3+ years of experience with Python;Experience with TypeScript is mandatory;Solid understanding of the SDLC and tooling (GIT, branching/merging, build systems, CI technologies);Understanding of state management (redux), HOCs, hooks;Experience working with remote data via REST and JSON;Strong knowledge of OOP, design patterns, SOLID;Experience with test driven development;Self-motivation with the ability to work in a team in a fast-paced environment;Ability to work independently, team player with strong communication and interpersonal skills;Ability to discuss and explain complex technical concepts to both engineers and non-engineers;Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon;An understanding of best practices and a commitment to following them;A positive mindset and can-do attitude;Experience working in an Agile environment;Upper-intermediate or higher English level, both spoken and written.What you get:Flexible working hours;Competitive compensation commensurate with your experience and skills;Modern technologies, popular on the market;Not boring English classes;Interesting customers and projects;Learning and development opportunities along with AWS certification program;An excellent team with a friendly atmosphere.",https://djinni.co/jobs/558465-full-stack-developer-python-react-/
Senior Python Developer,2023-05-19,5,48,20,"We are looking for a Senior Python Developer who will have a hand in developing and delivering advanced solutions that meet the company's needs.To be considered for this role, you should have the following:- Strong experience with Python + Django and FastAPI frameworks - Experience with Rest API Integrations  - Familiarity with Terraform and AWS deployment, particularly API Gateway - Knowledge of Postgres databases - Experience with Auth0 authentication provider for backend and frontend Responsibilities:Collaborate with our development team to  implement the Oracle Hospitality API in our system Troubleshoot and resolve any integration issues Optimize API performance and reliability Ensure smooth communication between the backend and frontend of the system Maintain up-to-date documentation on the integration processThe perks from us:Project that inspires;Close cooperation with the ClientMission-critical and challenging tasksA growing company with excellent career and professional growth prospects;Long-term employment — we are on the market for 20+ years and care of our staff — yourperformance quality is your protection so even if specific project ends or is terminated you willbe offered a new jobCompetitive salaryA friendly team of professionals100% remote working in the Lebanon Time zone;Flexible working hoursAnnual paid vacation paid sick leaves and holidaysIn-house free English coursesExciting team building and corporate events",https://djinni.co/jobs/558386-senior-python-developer/
Senior Python Developer (in EU),2023-05-19,5,7,2,"- Experience with data for model training, from the stage of requirements definition together with the client till datasets forming.- Experience with using public datasets for model training.- Experience with classic Computer Vision algorithms and image processing (without deep learning and GPU). - Strong knowledge of linear algebra and projective geometry.- Experience with classical ML algorithms.- PyTorch (required), OpenCV (required).- Experience of overclocking the architecture of a neural network trained with the PyTorch framework using TensorRT- Experience with 3D data.- Experience in solving problems of object recognition and tracking.- Experience with any medical data will be a big plus, even better if you have experience with genomic and transcriptomic data.- Knowledge and interest in modern SOTA tasks of DNN and molecular biology.- Experience in studying scientific publications and deploying solutions based on them (mandatory)The candidate must be available for onsite visits to Germany on short notice.Preferred location is Europe, ideally Germany or Poland",https://djinni.co/jobs/558373-senior-python-developer-in-eu-/
Software Engineering Manager  $6000-7000,2023-05-19,5,61,4,"About clientClient is an online fintech payment platform.The roleWe are looking for a detail-oriented, experienced, and highly skilled Software Engineering Manager to lead talented software development team.Responsibilities:-Lead by example by taking ownership, being proactive and collaborating,-Oversee the entire software development life cycle, from planning and design to implementation, testing, and maintenance.-Develop and implement effective project management methodologies and best practices, ensuring timely delivery of high-quality software products.-Provide technical guidance and mentorship to team members, assisting with complex problem-solving and promoting continuous learning and professional growth.-Monitor and evaluate team performance, identifying areas for improvement and implementing necessary changes to optimize productivity and efficiency.Preferred experience:-Excellent problem-solving and critical thinking abilities, with a strong focus on accuracy and thoroughness.-Experience working in Fintech and developed payment solutions-Demonstrable software design and development experience for distributed systems; using one or more of the programming languages, preferably Java, Go, Python, Ruby-Demonstrable experience with relational(e.g MySQL, PostgreSQL) and non-relational(e.g MongoDB, DynamoDB) databases-Experience with message brokers(e.g RabbitMQ, Kafka, SQS)-Deep knowledge on Computer Science fundamentals, algorithms and data structures-Experience with DevOps, continuous integration, and continuous delivery is a plus.",https://djinni.co/jobs/558339-software-engineering-manager/
Python Developer,2023-05-19,2,136,52,"Наша компанія знаходиться в пошуку колеги - Python розробника для участі у закордонних довгострокових веб-проектах.Основні завдання, які виконуватиме розробник у нашій компанії:- розробка веб-додатків для управління інтернет магазинами- інтеграція зі сторонніми сервісами з API- розробка баз даних- Написання додатків для аналізу та обробки даних.Основні вимоги до вакансії:- досвід роботи на аналогічній позиції від 1,5 років- досвід участі у розробці навантажених web-проектів- розуміння основних принципів роботи HTTP та RESTful APIs- досвід роботи з MySQL/PostgreSQL, Docker, Git- Вміння писати зрозумілий код- вміння розумітися на чужому коді- досвід роботи в командному рядку Linux- англійська, достатня для читання документації- вміння працювати в команді- знання інших технологій та мов (PHP, Javascript) буде плюсомЗі свого боку ми пропонуємо:- гідну та своєчасну заробітну плату, що переглядається за результатами роботи- цікаві та масштабні закордонні проекти- допомогу на всіх етапах нашої співпраці- роботу в компанії, що стабільно працює і розвивається- молоду команду професіоналів- чуйний менеджмент- підтримку компанії в професійному розвитку.RONIS це:- одна з провідних компаній з розвитку електронної комерції- компанія, що успішно розробила та просуває власний продукт- сильна команда, що активно зростає.",https://djinni.co/jobs/505763-python-developer/
Data Team Scraping Expert FPS,2023-05-19,0,245,56,"Currently, we are looking for a Data Team Scraping Expert FPS.Our partner is an Israel company Fornova that provides advanced analytics for their customers’ products. The team of the project at the moment is 50+ people.We empower the industry to optimize distribution, generate demand, and maximize revenueBI solutions market leader with the most comprehensive global data set in travel & hospitality. Fornova is looking for a Data Team Scraping Expert FPSRequired skills:Excellent communication in both spoken and written English.Python knowledge: (Libraries: scrappy, splash, puppeteer, requests, json, etree, os, re, pandas)Understanding of OOP principlesStrong knowledge of HTTP Methods and Networking, Debugging tools in Browsers, and Experience with PostmanProficient understanding of code versioning tools (Git, Bitbucket ect.)Good familiarity with the Linux OS and command line (pip, basic commands)Knowledge of HTML/CSSApplicant should be able to create a simple HTML pageBA in Computer Science /Information Systems or Industrial Engineering and ManagementGraduate — AdvantageWorking experience in JavaScript — AdvantageNoSQL / SQL knowledge — Advantage.Reverse engineering of API/web-applications — AdvantageXpath or Regular Expressions — AdvantageAbility to work well independently and productively in highly pressured environmentCreative thinking and team collaboratorSelf-learnerIt would be very useful if you have experience working with the following:Scanners & Crawlers, Splash, Lua script, Fiddler, Postman, MongoDB, Cassandra, ElasticSearch,TypeScript, basic Docker knowledge, Linux, JIRA, Robot framework, Kibana, Tableau.Responsibilities:Performing website analysis for creating highly efficient and maintainable automated data collectors inPython.Adding enhancements to existing collectors.Understanding internal data pipelines, troubleshooting, spotting, and overcoming issues on the different stages of data flows.Mastering different lines of business and their requirements and delivering solutions according tointernal guidelines and quality requirements.Collaborating with external partners and integrating their solutions to our infrastructureTaking a logical, data-backed approach to prioritizing projects, while cooperating with colleagues fromdifferent departments at the same time.Taking ownership of new and challenging projects and enjoying being the “go-to” person.Enhancing our knowledge base with new high-end solutions",https://djinni.co/jobs/558313-data-team-scraping-expert-fps/
Senior Fullstack Python Developer,2023-05-18,5,30,3,"PiiQMedia is developing an advanced social media data collection and analytics platform. As a small development team, we pride ourselves on developing high quality, maintainable, and scalable software. We are looking for a strong fullstack engineer to join our team.The company is based in the United States, but the development team consists of Russian speaking developers mostly in Ukraine. Our current stack is Python/Django, Vue.js, MongoDB, PostgreSQL, Redis, Docker.Requirements:- 5+ years of relevant experience- Experience with Python/Django- Experience with at least one Frontend framework- Experience with Relational and NoSQL databases- Exposure to cloud-based architectures- Experience with build, test and deployment automation technologies- Ability to read/write in English- Ability to communicate with the rest of the team in RussianNice to Have- Experience with data collection, Selenium, Scrapy, etc. is a big plus- Experience with MongoDB, Redis, Docker- Experience with AWS CloudYou will have to have flexible working hours to be able to communicate with the project manager in the United States.",https://djinni.co/jobs/523837-senior-fullstack-python-developer/
Python Backend Developer,2023-05-18,3,78,15,"PiiQMedia is developing an advanced social media data collection and analytics platform. As a small development team, we pride ourselves on developing high quality, maintainable, and scalable software. We are looking for a strong backend engineer to join our team.The company is based in the United States, but the development team consists of Russian speaking developers mostly in Ukraine. Our current stack is Python/Django, Vue.js, MongoDB, PostgreSQL, Redis, Docker.Requirements:- 4+ years of relevant experience- Experience with Python/Django- Experience with Relational and NoSQL databases- Exposure to cloud-based architectures- Experience with build, test and deployment automation technologies- Ability to read/write in EnglishNice to Have- Experience with data collection, Selenium, Scrapy, etc. is a big plus- Experience with MongoDB, Redis, Docker- Experience with AWS CloudYou will have to have flexible working hours to be able to communicate with the project manager in the United States.",https://djinni.co/jobs/526311-python-backend-developer/
Python Developer - work only from Poland,2023-05-18,3,8,1,"Project Description:We are currently seeking a skilled Python Developer to join client's Energy Trading team. The ideal candidate will work closely with traders to develop strategic solutions and provide ad-hoc support, using their expertise in Python, SQL, and reporting tools. A background in statistical modeling and experience with gas or power fundamental/price data is a plus.Responsibilities:- Collaborate with traders to understand their requirements and develop data-driven strategic solutions to support decision-making in energy trading.- Provide ad-hoc analytical support to traders by extracting, processing, and interpreting data.- Leverage knowledge of Python, particularly statistical/data manipulation/visualization libraries (such as pandas, numpy, scipy, and matplotlib), to analyze and interpret large datasets.- Utilize SQL / Redshift / S3 to query and manipulate data to meet specific requirements.- Create insightful reports and dashboards using Tableau, Plotly, Dash or other reporting tools.- Assist in the development and implementation of statistical models, linear optimizations, and machine learning algorithms to improve trading strategies.- Stay up-to-date with industry trends and developments in energy markets, particularly in gas and power fundamentals and price data.Mandatory Skills Description:- Minimum 3+ years of experience as Python developer- Strong knowledge of Python, particularly the statistical/data manipulation/visualization libraries (e.g., pandas, numpy, scipy, and matplotlib).- Proficiency in SQL, Redshift, or S3 for data querying and manipulation.- Experience in using reporting tools like Tableau, Plotly, Dash or other to create visually appealing and informative reports and dashboards.- Excellent problem-solving skills and ability to work in a fast-paced, high-pressure environment.- Very strong communication skills to effectively collaborate with traders and other team members.Nice-to-Have Skills:- Familiarity with statistical modeling, linear optimizations, and machine learning techniques.- Experience working with gas or power fundamental/price data, preferably in an energy trading context.- Knowledge of the energy industry and a solid understanding of market dynamics.",https://djinni.co/jobs/558282-python-developer-work-only-from-poland/
