title,posted,experience,views,replies,description,link
Team Lead / Senior Python Engineer  $4600-7000,2023-05-18,5,57,13,"We are looking for a Team Lead/Senior Software Engineer to join an Indigo Ag Engineering Organization. Indigo is determined to build a development center in Ukraine. Indigo Ag is a Unicorn Boston Startup with over 1200 employees.Valued at over 3 Billion dollars, #2 on the Disruptors list Indigo Ag is an international AgriTech startup pioneering an ambitious mission in a budding industry where agriculture meets technology. Through data-driven insights, natural microbiology, and innovative digital technologies, Indigo is partnering across the supply chain, ultimately cultivating a scalable climate solution and enhanced ecosystem that beneficially serves farmers, consumers, and the planet alike. Indigo Engineering provides tremendous career and learning opportunities.Working on the Indigo Platform, you will become a better engineer working with FastAPI, SQLAlchemy, Alembic, Pydantic, Python3, Celery, and Redis and learning to work on mono-repo in small highly autonomous teams with a very high degree of ownership.Required skills5+ years of experience using PythonExcellent understanding of the OO design/programming paradigmSolid background in computer science and programmingStrong knowledge of databases and networksAt least an Upper-Intermediate Level of EnglishAbility to manage team and stakeholders.Mentoring experience.We offerProfessional development support (books, online courses, conferences, certifications, English classes, and clubs)Flexible working hours and WFH policy (upon agreement with the teammates)Home office setup compensationMedical insurance or sports compensation20 business days of paid vacation, additional vacation in case of baby birthSick leaves compensationMaternity/paternity leaveCorporate events and team-buildingsCompetitive salary",https://djinni.co/jobs/558139-team-lead-senior-python-engineer/
Senior Python Engineer,2023-05-18,5,32,8,"Rate: $5,000-7,000 USD per monthLocation: Remote (Ukraine, Poland, UK, Portugal, Spain)Contract Type: B2B (Independent Entrepreneur)The Role:- You will be working on data collection programs and scrapers collecting data from websites and APIs- You will be working on your own projects using the core python programming language- Turn concepts and requirements into highly available applications and systems using core Python programming- You will continuously improve your existing programming skills and add new ones to your skill set as you develop with usWhat We’re Looking For:- At least 5 years of programming experience- Strong Python skills- Experience or familiarity with Docker- Working in an Agile team environment- Excellent communication skills- A positive attitude and willingness to learn - we’re more interested in the right mentality than a specialism in a specific technology- Ability to learn new technologies and adapt quickly",https://djinni.co/jobs/558129-senior-python-engineer/
Python Developer,2023-05-18,3,49,4,"Hello!At the moment, we are actively developing a new business area with our partners, which allows you, as a development specialist, to work for companies of customers from Europe, America and Canada as an exclusive developer, enjoy the privileges of an individual social package provided for a specific project and receive decent compensation, which should fully cover your wishes and expectations based on the results of the interview. At the moment, our reliable partners from the USA are looking for Python specialists, to full time position for remote opportunities on famous E-commerce product.Product:We are a pioneering micromobility provider, established in 2019, and known for our global presence across Europe, the US, and Asia. Our company specializes in integrating cutting-edge technology, including vehicle innovation, IoT solutions, software development, and operational expertise, to revolutionize mobility and delivery options.Responsibilities:➣ Develop and implement innovative solutions for assigned projects, both independently and collaboratively with team members.➣ Support and enhance existing integrations by writing and integrating software components.➣ Optimize system performance through performance tuning, automation, monitoring, and ensuring testability.➣ Analyze, design changes, provide upgrade recommendations, and maintain software systems.➣ Contribute to the advancement of our underlying technology stack.➣ Foster close collaboration with Scrum and Product development teams.➣ Actively participate in requirements refining, estimation, and user story development processes.Requirements:➣ Minimum of 4 years of experience in a related technology role.➣ Extensive development expertise in Python, with a strong background in ""async"" programming.➣ Proven experience in designing, developing, and deploying platforms for running containerized services.➣ Strong knowledge of Docker and proficiency in managing the deployment life cycle (Storage, Docker Registry, Images).➣ In-depth expertise in building and interacting with RESTful services.➣ Familiarity with processing large volumes of structured and unstructured data in both streaming and batch modes.➣ Proficiency in cloud infrastructure, specifically AWS➣ Preferred experience with data technologies such as Spark, RabbitMQ, Active MQ, and PostgreSQL.➣ Bonus experience in Infrastructure as Code using Terraform.",https://djinni.co/jobs/558126-python-developer/
"Middle Fullstack Developer (Python, React)/ AI enthusiast",2023-05-18,2,74,21,"Are you a code-slinging, keyboard-crushing Software Developer with a taste for adventure and an unquenchable thirst for knowledge? If so, we've got the perfect gig for you! We're on the lookout for a fun-loving, tech-savvy Software Developer to join our crew. Ready to cast your spell on the world of AI?You'll be our ideal candidate if you have:- A 2-year (or more) love affair with software developmentPython skills- At least some React (or similar framework) expertise- A burning passion for all things AI (robots are our friends, after all)- Good written English (you don’t have to make Shakespeare shed a tear of joy, but you have to be able to explain your ideas clearly)- The ability to fly solo or spread your wings in a team- Analytical prowess and problem-solving skillsExtra points for:- Experience working with ChatGPT API (or, as we like to call it, the digital oracle)Your epic quest will involve:- Collaborating with our fantastic team of developers, designers, and other tech gurus- Turning complex problems into elegant, magical solutions- Building and refining digital tools that will change the world (or at least make it a little bit cooler)- Continuously learning, growing, and laughing with us on this wild rideAre you ready to unleash your inner coding superhero and save the day? Apply now and let's write the future together!We offer:- A competitive salary, plus extra bonuses that'll keep you grooving- A 4-day working week (that's right, 3-day weekends - hello, work-life balance!)- 20 marvelous paid leave days per year (because even superheroes need to recharge their superpowers), plus another 20 sick days for when you're battling the not-so-epic Kryptonite cold (chicken soup not included).- A chance to sink your teeth into captivating projects and grow your awesomeness within our company- Gym membership to keep you fit, fabulous, and ready to conquer the world- Company-sponsored education related to your specialty, because we believe in nurturing your inner genius- A friendly, cheerful team that's bursting with good vibes and a top-notch corporate cultureAre you ready to embark on this wild ride? Apply now and let's make some AI magic happen together!",https://djinni.co/jobs/558014-middle-fullstack-developer-python-react-ai-en/
Python,2023-05-18,2,135,43,"Ми продуктова ІТ компанія 9 років на ринку зараз  у пошуку Python у свою круту команду. Швидкий оффер після тех.інтерв'ю, БЕЗ тестового. Remote, працюємо БЕЗ трекерів, відпустка 28 календарних днів, лікарняний, щоквартальний перегляд ставки, прийом БЕЗ ФОП. Компанія входить у ТОП 100 криптобірж світуНеобхідні навички кандидата: 1.Досвід програмування на Python від 2-х років2.Хороші знання базових бібліотек3.Досвід роботи з web-фреймворком aiohttp4.Досвід роботи з ORM: SQLAlchemy5.Уміння тестувати додаток6.Уміння працювати зі web-server gunicorn7.Досвід роботи з PostgreSQL, monogoDB, redis як БД8.Досвід роботи з асинхронним програмуванням, шифруваннямзасобів Python9.Знання англійської на рівні, необхідному для читання документаціїБуде плюсом10. Досвід роботи з криптографічною бібліотекою від IIT11. Досвід роботи з id.gov.ua12.Досвід роботи з Kubernetes13.Досвід роботи з git flow",https://djinni.co/jobs/557998-python/
Python (Odoo) Developer,2023-05-18,1,149,41,"Вітаємо! Ми команда ToDo. Входимо до складу великої української ІТ team, що з 2003 року спеціалізується на автоматизації бізнес-процесів. Разом ми впроваджуємо IT-рішення від провідних вендорів і створюємо власні, щоб оптимізувати роботу виробництв, рітейлу, складів, автосервісів тощо.Напрямок саме нашої команди - діджиталізація всіх бізнес-процесів підприємства на базі популярної у світі облікової системи ERP класу – Odoo.Наразі ми в пошуку Python Odoo Developer, який допоможе нам якісно кастомізувати Odoo-рішення під особливості бізнесу замовника. Чудово, якщо Ваші знання включають: Технології:1. Python2. JavaScript3. CSS4. HTML5. SQL 6. XMLФреймворк: 1. OdooСистема:1. GithubОсновною перевагою буде досвід у розробці Веб-додатків, зокрема Odoo, але якщо Ви володієте необхідними базовими знаннями і відчуваєте жагу вчитися – ми з радістю адаптуємо і розвинемо Ваш досвід, спираючись на специфіку діяльності компанії. Крім того, ми зі свого боку забезпечимо Вас:1. прозорою системою винагороди Ваших навичок і зусиль;2. комфортними умовами: офіс у Києві, або ж дистанційний формат;3. можливістю і натхненням навчатися завдяки лояльному і відкритому керівництву;4. зарядженим на результат, амбітним оточенням, з яким буде приємно пліч-о-пліч досягати малих і великих перемог.Будемо раді отримати Ваш відгук і, можливо, разом збагачуватись знаннями та реалізувати амбітні цілі.P.S. Будь ласка, прикріпить у відгуку також приклади робіт зі свого портфоліо, дякуємо!",https://djinni.co/jobs/557981-python-odoo-developer/
Senior Python Developer,2023-05-18,5,26,2,"Jelvix is looking for an experienced and initiative Senior Python DeveloperRESPONSIBILITIES:- Design, develop and maintain complex software solutions using Python- Write clean, scalable, and maintainable code- Collaborate with cross-functional teams to define, design, and ship new features- Perform code reviews and ensure adherence to coding standards- Mentor and guide junior developers- Stay up-to-date with the latest technology trends and best practicesREQUIREMENTS:- Python, Django (5+ years of experience)- Graphene-python, Celery, FastApi- Experience with database design and management- Bachelor’s degree in Computer Science, Engineering, or a related field- Excellent problem-solving and analytical skills- Strong communication skills and the ability to work in a team environmentWILL BE A PLUS:- Experience with Agile methodologies - Experience in IoT fieldWhat We OfferDo you want to be challenged professionally and personally? We only hire top tier professionals who have what it takes to create astounding solutions for our clients. Here’s a small taste of what you’ll get with Jelvix:• Remote work• Work schedule is flexible - fixed amount of hours that you need to work per month• 20 days off per year (10 days every 6 months are charged), unused days do not burn out• Reimbursement of 5 sick days per year• Office located in the city center (parking area available) and summer rest zone• Partial compensation for external courses/conferences (after the completion of the Adaptation Period)• Partial compensation for external professional certifications• English group lessons in the office with teachers (free of charge; 2 times a week)• Reimbursement for sports or massage• Large library with a scheduled purchase of new books every half a year• Yearly Individual Development Plan (after the completion of the Adaptation Period)",https://djinni.co/jobs/557973-senior-python-developer/
QA Automation Engineer,2023-05-18,2,82,6,"We are looking for a Quality Assurance Engineer with knowledge of Linux OS, background in Python development and experience with OVS/DPDK to join a long-term product development project at PLVision. This is an opportunity to secure your continuous professional growth while working with the expert community in a company with the in-demand technology specialization in computer networking. As a QA Engineer, you will focus on the verification of the customer’s networking hardware using virtual switches as well as applying different types of test methodologies. In this role, you will directly impact the quality of the product that we deliver to our client.   Client Profile  The customer is a European company, one of the world's leading manufacturers of SmartNICs (Network Interface Cards). They also provide testing, monitoring and network performance analysis services for data centers. The key technologies of this project are Open vSwitch (OVS) and DPDK (Data Plane Development Kit).  About PLVision We are a software product development company specializing in computer networking and embedded systems. PLVision has offices in Krakow, Poland, and in Ukraine: Lviv, Odesa, Kyiv, and Kharkiv (currently relocated). Founded in 2007, the company helps networking industry leaders and ambitious startups in the U.S., Israel, and the EU countries to launch innovative products.  Vacancy responsibilities:Preparing test environment for the customer's needsAutomating test execution with CI /CD (Jenkins)Updating test framework to work with the customer-specific hardwareRunning test cases for different types of the customer's hardwareImplementing test cases for performance and functional testingImplementing test cases for DPDK driver of the customer's productPreparing and reviewing test documentationVacancy requirements:· At least 2 years of experience with Python· Strong understanding of Object-oriented Analysis and Design· Strong analytical, debugging and problem-solving skills· Basic knowledge of Linux· Basic knowledge of Docker· Bachelor's degree in Computer Science or Software/Computer/Communications Engineering· Knowledge of technical English at Intermediate level and higherVacancy plus options:· Familiarity with network communication protocols· Familiarity with OVS/DPDK· Experience with CI methodology & tools (Jenkins etc.)· Hands-on experience in Agile/Scrum environment",https://djinni.co/jobs/484144-qa-automation-engineer/
"Senior Python Developer (AsyncIO, FastAPI)",2023-05-18,5,53,12,"About the role: Our backend is developed all in Python running in the cloud over k8s.It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.Requirements 5+ years experience in PythonExperience in SW design and backend developmentExperience in developing and deploying multiple projects used in productionExperience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)BSc in Computer Science or equivalent industry experienceExperience with Async IO and FastAPIQualities: Star performer, Team player, Fast, Strong ownership, Passionate about their work, Great communicator. For more details see WhatBonus: Being an Architect with deep design experience.Experience with gRPC,  WebRTC.Experience with Ansible.BenefitsEquipmentPaid Sick & vacations daysNational holidays",https://djinni.co/jobs/557905-senior-python-developer-asyncio-fastapi-/
Middle/Senior Python Developer  $30-35,2023-05-17,5,41,1,"Our customer:Our customer is a leader in the efficient use of water, land and human capital, originating and utilizing new forms of farming, rendering benefits from a collaboration with the high-tech sector.Required experience and skills:5+ years of experience with Python;Experience with Telnet protocol;English – upper-intermediate+.Would be plus:Experience with legacy code.Working conditions:Part-time (20 hours per week);Remote work.",https://djinni.co/jobs/557852-middle-senior-python-developer/
Tech Lead/Architect Python + Data Engineering,2023-05-17,5,43,3,"Привіт!👋🏻  На зв`язку львівська IT компанія «ByteAnt», що розпочала свою історію у 2️⃣0️⃣0️⃣6️⃣ році. Ми займаємось розробкою програмного забезпечення на замовлення, та розробкою власних IT-рішень і продуктів із застосуванням прогресивних AI, ML та CV технологій. 🕵🏻‍♀️ Ми шукаємо ініциативну та досвідчену людину, яка приєднається до нашої команди в якості Tech Lead/Architect Python з досвідом Data Engineering  на freelance.    📌Requirements:  A must:  - Від 5 років комерційного досвіду з  Python; - Від 1 року комерційного досвіду з  Data Engineering; - Досвід роботи з Kubernetes, мікросервісами; - Рівень володіння англійською мовою на рівні Upper Intermediate або вище. Would be a ""➕"":- Досвід реалізації multi-tenant SaaS архітектури (буде дуже великим +); - Сертифікація AWS. 📌Responsibilities:  - Розробити архітектуру multi-tenant SaaS додатку з Data ingestion і Data tranformation пайплайнами у AWS з використанням Kubernetes та мікросервісної архітектури; - Реалізувати розроблену архітектуру за допомогою команди з  python back-end розробника та data engineer:  1. Зробити креслення . 2. Зреалізувати своїми руками. Прикладна задача: Proof of concept конкретних фіч або функціональності на розробленій архітектурі, реалізація та деплоймент разом із розробниками; - Задокументувати зроблену роботу в форматі тех.документації; - Комунікація із замовниками - презентація, представлення архітектури замовникам; - Комунікація з командою розробників. 📌We offer:- Freelance зайнятість від 2 до 6 місяців. ⏳Interview process:  1️⃣ HR скринінг;  2️⃣ Iнтерв'ю з CEO та PM.   Відгукнись на вакансію, та прямуй до нас у команду! 😊",https://djinni.co/jobs/557841-tech-lead-architect-python-data-engineering/
Mid to Senior Python Developer,2023-05-17,3,111,40,"We are looking for a talented Python developer. You will work alongside world-class security and product teams, all of whom are inspired by the use of breakthrough technologies to help safeguard a fast-growing customer base around the world.Our client has a large product portfolio that is built upon plenty of cutting-edge techs, from real-time inspection using stream & batch processing to penetration-tests simulation using top-researchers experience, and much more.Requirements:— 3+ years of experience in back-end development using Python.— Experience with designing, developing, and debugging complex, distributed systems (cloud-native, microservices, event-driven).— Experience with developing large-scale, data-oriented applications.— Experience working on and operating a service, with modern operative concepts (CI/CD, On-call, No QA, etc.)— Experience with container and orchestration technologies (Kubernetes, Docker).— Practice and good knowledge of Mongo DB.— Experience with Kafka and the various technologies in its ecosystem— Intermediate+ level of English.— Good architecture knowledge and work experience with complex backend systems and data flows — an advantage— soft skills: soul player, devoted, responsible, kind.",https://djinni.co/jobs/557821-mid-to-senior-python-developer/
Senior Python (Data) Engineer,2023-05-17,5,18,1,"About the vacancyNortal welcomes an experienced Senior Python (Data) Engineer to join the project team of our client – the international mining industry giant! The company is re-imagining and digitalizing the mining process, using the latest and most innovative IT technologies, to create sustainable value across an integrated value chain.About our clientOur client is a global mining company with a world-class portfolio of products that are used by a billion consumers every day. Our client relies on data and cutting-edge data science to enhance their operations. They also use advanced machine learning and artificial intelligence to optimize their processes.About the projectOur client is a giant corporation with 90000 employees globally. They have their own innovative IT department handling the whole cycle of development of the products used by the organization. You will work in an international expert team to develop sophisticated software solutions that have a direct impact on almost every aspect of modern life. You will use the innovative practices and the latest technologies to deliver safe and sustainable products to their customers around the world. Data Analytics is a new discipline in the Technical and Sustainability function of our client. The company is going to generate more data than ever before, and it needs to build the systems to support this and for making better decisions.MissionAs part of the team, you’ll be engaged in strategic and operational tasks:- Design, build, and maintain data pipelines and integrations using Python, Spark, and SQL- Develop an integrated API to allow data access and integration with other systems- Work with Azure cloud platforms and Databricks to process and analyze data- Collaborate with cross-functional teams to understand data needs and requirements- Participate in the DevOps lifecycle, including code review, testing, and deployment- Adhere to Agile methodology and practices- Troubleshoot and resolve technical issues as they arise- Monitor, review, and continually improve performanceRequirements- Skilled in developing quality Python / PySpark based pipelines, and implementing software development best practices to ensure high-quality standards are met- Experience with building batch or stream pipelines leverage Databricks and other Azure stream technologies- Hands-on experience with API Development- Experience with unstructured and spatial data types- Good SQL knowledge- Clear understanding of agile best practices and proactively collaborate and support the team if needed during the whole sprint cycle- Familiar with the DevOps lifecycle- Experience with automation tests executable via pipeline, and version controlled with test frameworks integration- Good command of English",https://djinni.co/jobs/557815-senior-python-data-engineer/
"Senior Python developer with PySpark, BigData (Investment bank experience)",2023-05-17,5,11,0,"We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Create new Big Data platform that will be used to store Market Data and Risk data using PySpark- Work collaboratively with quants, analysts, and other stakeholders to understand data needs and develop solutions.- Collaborate with the team to design a highly usable API to provide access to the data.- Monitor performance and advise on necessary infrastructure changes.- Document all processes, designs, and data flows.Mandatory Skills Description:- Strong proficiency in Python (5+ years) and Spark (PySpark).- Experience in building and optimizing Big Data pipelines, architectures, and data sets.- Strong understanding of Big Data technologies and principles, including Hadoop, Hive, and other tools in the Hadoop ecosystem.- Familiarity with building APIs for data access.- Strong problem-solving skills and ability to communicate complex technical concepts to non-technical stakeholders.- Excellent collaboration and communication skills.Nice-to-Have Skills:- Investment Bank experience- Knowledge of Derivative products and Market Risk (Greeks)- JavaLanguages:English: B2 Upper Intermediate",https://djinni.co/jobs/557787-senior-python-developer-with-pyspark-bigdata-/
Senior Python developer with Risk (Investment bank experience),2023-05-17,5,7,1,"Project Description:We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description:- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills:- Investment Bank experience- PySpark- Java",https://djinni.co/jobs/557742-senior-python-developer-with-risk-investment-/
Senior Python developer with Risk (Investment bank experience),2023-05-17,5,4,1,"Project Description:We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description:- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills:- Investment Bank experience- PySpark- JavaLanguages:English: B2 Upper Intermediate",https://djinni.co/jobs/557737-senior-python-developer-with-risk-investment-/
Senior Python Developer (with Investment bank experience),2023-05-17,5,7,1,"Project DescriptionWe invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills- Investment Bank experience- PySpark- JavaLanguagesEnglish: B2 Upper Intermediate",https://djinni.co/jobs/557701-senior-python-developer-with-investment-bank-/
Senior Python developer with Risk (Investment bank experience),2023-05-17,5,24,4,"Project Description:We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description:- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills:- Investment Bank experience- PySpark- JavaLanguages:English: B2 Upper Intermediate",https://djinni.co/jobs/557697-senior-python-developer-with-risk-investment-/
Senior Python developer with Risk (Investment bank experience),2023-05-17,5,9,1,"Project Description:We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description:- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills:- Investment Bank experience- PySpark- Java",https://djinni.co/jobs/557687-senior-python-developer-with-risk-investment-/
Senior Python developer with Risk (Investment bank experience),2023-05-17,5,4,1,"We invite passionate engineers to join our Market Risk Technology Team. Our mission is to build a robust middle-office Market Risk platform to calculate Internal Stress Testing, Federal Stress Testing Scenarios, Value at Risk (VaR), and Risk Theoretical Profit and Loss (RTPL).The platform we are developing is not directly for traders but primarily serves risk managers, financial controllers, and regulatory bodies. Its primary function is to provide accurate, timely, and reliable risk measurements and evaluations.Responsibilities:- Risk Calculation Development: Design, develop, and implement new risk calculation methods using Python. Apply your quantitative skills to model complex financial instruments and risk scenarios.- System Enhancement: Enhance the existing risk system by identifying areas of improvement and introducing innovative solutions. Your mathematical and programming skills will be crucial in developing more efficient and effective ways to calculate and present risk.- Collaboration: Work closely with risk managers, financial controllers, and other stakeholders to understand their needs and incorporate their input into the risk system. This will involve translating complex financial concepts and requirements into effective software solutions.- Testing and Validation: Conduct thorough testing and validation of the risk calculation methods to ensure accuracy. This will involve creating tests, running simulations, and analyzing the results to validate the calculations.Mandatory Skills Description:- Extensive experience with Python programming (5+ years), including a strong understanding of data structures, algorithms, and software design principles.- Mathematical Aptitude: Strong mathematical background, preferably with a focus in quantitative finance, statistics, or a related field. Ability to model and solve complex mathematical problems related to financial risk.- Financial Knowledge: Understanding of financial concepts and risk management principles. Knowledge of ""Greeks"", VaR, Derivative products- Problem-Solving Skills: Strong analytical and problem-solving skills, with an ability to think creatively to develop solutions to complex problems.Nice-to-Have Skills:- Investment Bank experience- PySpark- JavaLanguages:English: B2 Upper Intermediate",https://djinni.co/jobs/557684-senior-python-developer-with-risk-investment-/
